Sex,Age,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
F,17,3,62,Yes,9,0,430
F,16,9,85,No,8,6,810
F,18,4,62,Yes,4,6,430
M,17,1,74,Yes,7,5,460
F,19,4,78,No,8,3,610
M,19,1,54,No,4,8,270
M,18,5,92,No,7,2,770
M,18,4,63,No,7,0,430
M,16,8,67,Yes,5,1,600
M,16,8,55,No,6,2,480
M,15,7,55,Yes,8,1,470
F,19,3,79,Yes,7,5,600
M,14,1,78,Yes,8,6,530
F,15,1,45,No,7,4,190
M,16,3,41,Yes,9,4,230
F,14,6,93,Yes,5,6,810
F,15,7,52,No,6,5,410
F,14,6,83,Yes,4,7,710
F,17,6,86,Yes,4,8,750
F,19,6,98,Yes,9,1,890
M,17,3,48,No,5,1,280
F,19,6,73,Yes,7,0,600
M,19,8,56,Yes,5,6,540
M,19,2,66,Yes,6,3,410
F,17,5,68,No,4,8,520
M,16,1,76,No,8,5,530
F,14,1,82,No,4,6,520
F,15,5,61,Yes,6,6,470
M,19,3,90,Yes,7,7,710
M,17,4,63,Yes,5,3,420
M,14,3,46,Yes,4,2,210
F,14,1,73,Yes,4,2,480
F,15,1,87,No,8,9,640
M,15,5,51,Yes,5,7,380
M,18,6,62,Yes,8,2,490
M,15,3,54,No,8,7,350
F,16,9,72,No,7,1,730
F,14,5,96,Yes,4,4,810
F,19,8,52,No,9,4,470
M,16,1,62,No,5,6,360
F,19,5,77,No,7,4,630
M,15,3,71,Yes,9,8,520
M,19,1,84,No,7,2,580
F,14,4,89,Yes,7,8,770
M,17,5,74,No,6,0,580
F,18,7,40,Yes,6,2,330
F,15,1,86,Yes,7,3,670
M,15,3,97,Yes,6,5,760
M,17,2,84,No,5,9,620
F,18,9,44,No,4,7,370
F,14,6,96,No,9,6,860
F,19,3,52,Yes,5,7,370
M,17,8,93,No,4,5,880
M,17,8,44,No,6,5,380
M,18,2,99,Yes,9,5,760
F,15,6,71,No,5,2,570
F,16,7,90,Yes,8,9,820
M,17,2,60,No,7,3,350
F,14,2,63,Yes,4,5,410
F,15,1,99,Yes,4,6,750
F,19,8,57,No,8,2,510
F,14,1,60,Yes,8,3,340
F,19,9,93,No,7,5,920
F,15,6,49,No,6,0,390
M,14,7,63,No,5,6,560
M,15,7,79,No,5,0,690
F,14,3,86,Yes,5,9,690
M,19,2,60,Yes,6,8,400
M,19,9,64,Yes,7,9,630
F,15,8,91,No,5,8,860
M,14,7,99,No,4,8,890
M,16,9,96,Yes,4,3,940
F,15,4,98,Yes,4,1,790
M,18,4,62,No,8,6,440
F,19,1,61,No,8,3,330
F,18,8,43,No,6,4,360
F,18,3,73,Yes,5,0,500
M,15,7,95,No,8,9,940
F,15,2,45,Yes,4,5,220
F,16,2,67,No,8,6,440
F,15,7,70,Yes,4,2,600
F,16,6,74,No,5,9,640
M,18,3,78,Yes,6,1,580
M,15,9,81,Yes,7,9,780
F,19,6,62,Yes,7,6,510
F,17,6,45,No,4,0,300
F,17,1,55,Yes,8,1,290
F,14,4,41,Yes,8,2,220
M,16,6,63,No,4,3,510
M,14,6,56,Yes,5,4,450
M,15,5,84,Yes,4,3,700
F,18,1,40,No,5,9,100
M,17,8,45,Yes,6,2,380
F,19,5,44,No,6,0,300
F,14,5,96,Yes,4,6,820
M,15,7,84,No,6,9,740
M,17,4,99,Yes,8,5,870
F,16,6,94,Yes,5,1,770
M,17,4,89,Yes,7,1,720
F,18,3,68,No,7,2,510
F,16,7,51,Yes,6,7,400
M,16,8,78,Yes,5,7,720
F,18,4,86,No,8,9,680
F,19,2,42,No,7,9,220
F,17,3,87,No,8,9,670
F,15,1,40,Yes,8,9,180
M,14,8,66,Yes,7,7,640
M,14,3,87,Yes,7,6,660
F,19,7,63,No,6,1,500
F,18,5,83,No,5,0,680
M,17,5,58,Yes,4,5,440
M,18,7,98,Yes,5,7,900
F,18,9,47,No,4,0,410
M,16,5,94,No,7,2,830
M,15,1,83,No,8,0,570
F,16,1,86,Yes,5,9,640
F,18,2,41,No,8,8,180
M,14,6,69,No,5,6,620
M,14,9,69,No,9,7,660
F,15,8,88,No,5,8,850
M,15,5,78,Yes,8,2,620
M,16,1,84,No,9,9,620
M,15,7,71,Yes,6,1,620
M,19,5,40,Yes,7,5,260
F,17,6,77,No,6,4,660
M,19,7,52,No,6,3,430
F,14,3,50,Yes,5,5,300
M,14,3,49,No,7,5,250
F,15,5,87,Yes,9,2,770
F,14,6,98,No,5,1,880
F,15,9,65,Yes,4,8,620
M,19,5,95,Yes,5,7,820
M,17,1,94,Yes,9,3,730
F,15,4,59,No,8,5,440
F,14,5,56,Yes,5,2,400
F,15,5,56,Yes,4,7,390
F,15,7,43,No,5,2,340
M,15,4,44,No,9,1,270
M,18,1,99,Yes,4,6,730
M,17,5,62,Yes,7,2,460
F,16,7,85,No,9,8,780
F,19,6,91,Yes,5,2,800
F,18,5,49,No,4,7,330
M,17,4,85,No,9,1,680
F,17,2,67,No,7,8,450
M,18,4,72,Yes,8,0,560
F,15,3,82,No,6,2,580
F,17,1,65,Yes,4,1,370
F,16,8,94,Yes,8,6,880
M,19,5,89,No,7,4,750
M,18,4,87,No,8,7,700
F,17,8,68,No,5,1,620
F,14,7,66,No,6,7,570
F,16,2,57,Yes,4,6,320
M,14,1,79,Yes,9,4,530
F,18,4,99,No,7,1,820
M,16,8,49,Yes,6,9,410
F,16,2,97,No,7,6,750
F,18,3,81,Yes,8,9,630
F,15,1,44,Yes,7,3,170
M,18,1,49,Yes,7,3,240
F,19,3,89,No,8,7,690
F,17,5,60,Yes,8,5,470
F,18,3,63,Yes,6,8,430
M,15,1,77,Yes,4,1,480
M,19,1,42,Yes,8,4,170
F,17,8,79,No,6,5,750
F,18,2,70,Yes,7,7,540
F,18,3,80,No,7,3,590
M,18,2,76,No,9,6,560
M,18,3,41,Yes,5,6,200
M,16,7,41,Yes,8,3,340
F,19,1,78,No,6,0,540
F,15,8,88,No,9,2,830
F,19,2,81,No,6,1,590
F,16,3,83,Yes,4,2,630
M,19,9,73,Yes,9,4,720
M,17,7,81,No,6,0,700
F,19,4,59,No,8,4,410
M,14,5,72,No,6,1,540
F,14,2,43,Yes,5,3,210
F,16,8,84,Yes,7,5,830
F,16,4,83,No,7,8,640
M,18,9,50,Yes,9,9,510
F,14,5,81,No,6,5,660
M,17,9,86,Yes,6,9,830
F,14,4,44,No,6,1,260
F,17,5,64,Yes,6,7,490
F,18,9,88,Yes,5,4,850
F,19,8,99,Yes,8,8,950
F,19,3,76,Yes,5,9,560
M,18,1,73,Yes,5,8,500
M,16,3,48,Yes,5,3,230
F,19,4,45,Yes,7,0,260
M,19,2,57,No,5,8,300
M,19,1,53,No,6,8,280
M,15,7,58,No,5,7,480
M,19,8,53,Yes,6,4,460
M,17,7,79,Yes,9,4,730
F,17,5,56,Yes,8,9,450
F,18,1,99,No,7,5,760
F,17,7,74,No,8,0,710
F,19,7,68,No,9,8,600
F,15,9,81,No,8,4,770
M,19,3,56,No,7,6,360
F,17,9,98,No,6,7,960
F,19,1,82,Yes,9,4,620
M,16,1,47,No,9,2,220
F,19,4,40,Yes,6,5,210
M,16,9,84,No,6,6,790
M,18,6,92,No,7,3,820
M,17,3,75,Yes,5,8,550
F,18,1,46,Yes,4,3,220
F,14,4,85,Yes,5,9,700
F,16,9,44,No,5,1,370
M,19,3,63,No,8,8,420
M,19,9,67,Yes,4,3,640
M,19,7,82,No,6,3,720
M,14,4,56,Yes,5,9,420
F,18,3,76,No,7,0,560
F,15,5,59,No,5,1,430
M,16,5,42,No,6,2,240
F,17,3,76,Yes,5,6,550
F,18,9,65,No,9,8,640
F,16,4,54,Yes,8,4,340
F,17,5,90,Yes,8,3,780
M,16,4,87,Yes,5,1,710
M,17,5,47,Yes,8,6,330
F,18,7,52,Yes,7,5,460
M,16,9,87,Yes,4,6,860
M,16,7,42,Yes,5,7,340
M,19,5,40,Yes,7,8,260
F,17,7,48,Yes,9,9,440
M,16,5,70,No,7,4,530
F,14,3,80,Yes,7,4,610
M,14,7,93,No,9,3,840
M,17,2,65,Yes,6,2,400
F,19,9,56,No,5,6,530
F,16,1,95,No,5,4,670
F,19,6,73,No,5,6,580
F,16,7,48,No,4,1,410
F,18,8,95,No,7,8,890
F,18,9,90,No,5,8,850
F,18,2,52,Yes,8,8,330
M,15,2,44,Yes,6,4,200
M,15,5,80,Yes,9,9,660
M,15,5,52,Yes,9,8,380
M,16,6,40,Yes,4,0,250
F,19,3,64,Yes,9,1,430
M,17,8,86,No,6,9,790
F,19,1,43,Yes,7,4,160
F,18,6,75,No,9,4,670
F,17,4,91,No,9,5,800
F,17,1,49,No,8,7,260
F,15,7,67,No,7,0,570
M,17,9,96,No,5,9,910
M,19,4,45,No,6,8,290
F,15,4,66,Yes,9,3,480
M,14,6,95,No,8,7,840
M,14,3,51,No,6,4,330
M,15,6,91,Yes,4,0,820
M,15,7,87,Yes,8,8,810
F,16,3,42,Yes,4,7,240
M,16,7,85,Yes,9,4,810
M,19,3,72,Yes,8,3,540
M,19,2,49,Yes,5,7,250
M,16,4,70,Yes,6,8,530
M,14,8,54,No,6,6,480
F,14,9,46,Yes,7,3,400
M,19,7,75,No,8,6,660
F,16,1,53,Yes,8,5,290
M,14,3,95,Yes,4,2,730
F,16,9,87,No,8,9,890
M,17,1,53,Yes,6,2,270
M,18,9,42,Yes,8,0,400
F,18,8,88,Yes,7,4,830
M,15,1,92,Yes,7,7,690
F,19,6,85,Yes,6,5,720
F,16,5,89,Yes,6,7,770
F,16,6,42,Yes,6,6,320
F,15,5,61,No,8,1,490
F,16,6,58,Yes,8,7,440
F,18,5,74,No,5,3,570
M,17,5,51,No,9,4,340
M,18,4,93,No,9,7,760
M,18,3,44,No,4,4,220
M,14,3,49,No,8,4,300
M,19,4,80,No,5,5,670
F,17,9,72,No,5,6,710
M,17,2,52,Yes,7,8,290
F,18,9,74,Yes,8,6,740
M,17,1,90,Yes,5,5,670
M,16,1,71,No,7,9,460
M,17,5,50,Yes,4,3,340
F,16,6,87,No,7,9,760
F,14,6,77,No,4,1,640
F,19,3,63,Yes,9,8,460
F,14,7,74,No,9,9,680
F,17,9,58,No,6,4,580
M,14,8,45,Yes,6,4,410
M,19,6,79,No,7,2,640
M,15,8,93,Yes,6,2,840
M,18,5,84,No,8,0,700
M,16,8,83,No,7,4,770
F,14,4,81,Yes,5,2,600
M,14,8,74,Yes,8,1,650
M,18,2,43,Yes,7,8,210
F,19,5,72,No,9,9,600
M,18,9,52,No,4,5,480
M,16,4,95,Yes,6,2,770
F,14,6,75,Yes,6,6,630
M,19,1,93,Yes,6,8,680
M,15,9,82,No,7,8,810
F,15,1,58,No,8,0,290
F,17,5,82,Yes,4,1,660
M,14,4,51,Yes,6,7,360
F,17,3,50,Yes,8,0,290
F,19,6,45,No,5,2,320
F,19,2,51,Yes,9,6,310
M,19,3,66,Yes,5,7,450
F,18,5,80,Yes,4,4,650
F,19,9,64,No,6,1,570
M,16,2,81,No,5,2,580
M,15,8,42,Yes,9,8,380
F,17,2,42,No,8,9,220
M,19,5,59,Yes,8,6,480
M,14,7,67,Yes,5,0,590
F,15,8,62,Yes,6,2,580
M,19,1,87,Yes,9,8,620
M,17,6,42,No,4,6,300
M,18,1,81,Yes,6,1,560
M,16,2,63,Yes,7,5,400
F,18,1,82,No,5,8,590
M,14,5,79,Yes,7,3,650
M,16,9,45,No,5,9,430
F,18,6,59,Yes,4,1,480
F,18,1,50,Yes,6,2,240
F,19,1,71,Yes,9,6,510
M,18,2,99,Yes,6,3,810
F,14,9,66,No,5,6,620
F,17,3,60,Yes,8,4,430
M,15,1,83,No,7,7,630
M,14,5,87,No,9,7,730
M,19,7,89,No,9,4,760
M,19,6,52,Yes,6,6,430
F,17,1,61,No,6,5,340
F,16,5,74,No,5,7,570
F,16,5,86,No,8,8,720
F,16,6,61,Yes,7,4,470
F,14,3,67,Yes,8,6,520
F,19,5,60,No,9,0,490
F,16,7,85,No,8,7,770
F,17,5,57,Yes,5,2,410
M,16,5,70,No,8,0,560
M,15,5,99,No,7,5,890
F,15,3,85,No,9,7,650
M,18,1,76,Yes,4,2,490
M,19,5,60,No,9,0,480
M,14,9,53,No,4,2,470
M,19,1,64,Yes,7,4,370
M,17,3,66,No,9,7,480
F,16,4,79,Yes,9,8,610
M,14,1,99,Yes,9,8,770
M,14,1,99,Yes,9,3,750
F,15,8,62,No,5,7,570
F,18,2,70,No,6,4,450
M,17,8,86,No,9,2,820
M,18,7,99,No,5,4,900
M,14,2,68,No,7,1,420
F,15,6,86,No,9,5,740
F,18,6,69,No,8,0,600
F,14,3,90,No,9,5,730
M,19,2,65,Yes,9,4,400
M,18,1,59,No,4,8,320
M,17,6,77,No,8,6,670
F,17,5,58,Yes,9,5,460
M,17,9,66,No,9,6,650
F,17,1,64,Yes,9,9,420
M,16,7,79,No,5,4,690
F,14,5,77,No,7,0,620
F,18,5,91,Yes,4,8,750
M,14,2,62,Yes,9,4,400
F,17,3,68,No,7,3,430
F,16,7,54,Yes,4,5,420
F,17,6,98,No,4,4,840
F,18,2,42,No,4,0,150
M,19,6,49,No,9,1,390
F,17,2,54,No,5,3,260
F,18,2,95,No,9,7,730
M,15,2,55,No,9,4,340
F,18,3,56,Yes,7,6,340
M,17,2,58,Yes,6,1,370
M,18,4,50,Yes,6,7,340
F,16,9,87,No,6,4,850
M,19,6,44,Yes,7,3,310
F,15,1,44,No,8,8,180
F,17,8,97,Yes,7,5,920
F,18,7,53,No,4,3,440
M,17,3,89,No,9,7,720
M,18,1,65,No,8,2,400
M,16,5,47,No,4,9,310
M,17,4,44,No,9,1,250
F,19,8,46,Yes,9,6,440
M,14,1,55,No,4,3,270
M,18,1,94,Yes,7,3,660
F,16,4,53,No,6,9,340
M,16,8,76,No,8,8,700
M,14,5,95,No,9,1,810
F,15,2,80,Yes,5,0,560
M,19,6,43,No,9,6,300
F,17,5,75,Yes,6,7,600
F,16,2,87,No,9,2,640
F,18,3,95,Yes,5,1,740
M,15,9,56,Yes,7,3,520
M,16,7,86,Yes,9,1,840
F,18,7,75,No,8,1,660
M,16,6,45,No,7,4,320
F,15,8,55,Yes,5,9,470
M,17,4,68,No,4,4,510
M,19,8,75,No,9,7,670
F,14,4,77,No,7,8,570
M,15,8,76,Yes,9,1,710
F,15,9,87,Yes,8,0,860
F,17,3,96,No,9,2,770
M,19,3,87,Yes,7,5,720
F,18,2,49,No,6,4,240
M,15,3,80,No,7,7,600
M,18,3,75,Yes,5,7,550
F,17,5,68,Yes,7,1,540
M,14,5,53,No,8,8,390
M,16,2,43,No,7,3,190
M,17,6,83,No,7,0,680
M,17,5,95,Yes,8,1,830
M,14,6,81,Yes,7,5,720
M,15,1,75,No,8,4,490
F,16,5,89,No,5,6,740
M,19,9,84,Yes,8,8,860
F,16,2,52,No,5,5,260
F,14,1,85,Yes,5,5,600
M,15,9,57,Yes,8,1,540
F,16,9,72,No,7,6,730
M,16,9,60,No,9,1,610
F,16,6,55,Yes,6,6,450
M,16,8,54,No,9,7,570
F,16,1,93,Yes,8,0,680
F,15,4,96,Yes,7,8,720
M,17,1,44,Yes,5,7,170
F,14,8,45,No,4,8,370
F,18,1,77,No,6,4,540
F,15,3,42,No,9,3,220
F,16,4,87,Yes,7,0,730
M,15,8,51,Yes,6,8,470
F,17,6,75,Yes,4,3,630
M,16,7,72,Yes,4,3,630
F,17,8,75,No,4,3,680
M,16,2,72,No,9,1,520
M,15,8,70,No,8,3,640
M,18,3,60,Yes,6,1,380
M,19,7,66,Yes,8,7,600
M,17,3,66,No,4,6,450
M,19,7,47,Yes,7,9,390
F,18,2,95,No,4,1,750
F,18,6,76,Yes,8,1,670
F,18,3,71,Yes,4,1,480
F,18,3,65,Yes,4,0,440
F,19,9,41,Yes,8,5,370
F,17,7,51,Yes,8,5,410
M,16,5,61,No,7,0,470
F,17,7,56,No,8,0,450
M,15,9,46,No,7,5,430
M,15,1,82,Yes,5,5,540
F,16,7,43,No,5,3,320
M,18,6,76,No,8,2,640
M,16,9,77,Yes,4,8,740
M,19,1,71,Yes,6,5,500
F,17,4,50,No,4,0,330
F,18,9,40,No,8,2,360
F,18,4,64,No,7,0,450
F,15,3,81,No,4,2,580
F,16,9,91,No,5,1,850
M,14,2,63,Yes,9,4,410
F,15,4,92,No,8,2,780
M,19,6,82,No,4,6,630
F,16,2,95,No,9,7,760
F,16,8,56,No,4,6,510
M,18,8,47,No,7,1,360
F,19,1,98,No,7,9,740
M,19,3,84,Yes,7,9,650
F,16,9,66,Yes,9,6,650
M,16,5,91,Yes,6,9,790
M,16,6,57,No,9,2,460
F,17,4,66,No,8,6,470
F,18,2,61,Yes,8,0,420
F,16,8,55,No,5,1,460
F,17,6,41,No,5,9,340
F,19,5,44,No,8,0,270
M,19,9,57,Yes,4,8,520
M,18,1,42,Yes,8,1,170
M,16,5,66,Yes,6,1,530
F,15,6,93,No,5,5,840
F,17,5,56,Yes,5,6,390
M,17,6,55,Yes,9,1,440
F,16,6,45,Yes,5,3,360
M,19,7,90,No,8,2,810
F,14,4,46,Yes,5,4,300
F,17,8,89,Yes,5,8,800
M,17,7,53,No,9,1,410
F,17,9,77,Yes,8,4,770
F,19,7,79,No,4,7,690
M,19,3,54,No,5,5,340
F,16,3,86,Yes,5,3,640
M,18,8,86,Yes,5,9,780
F,14,5,87,Yes,6,7,740
M,19,4,72,No,8,2,520
F,16,8,82,Yes,5,3,760
M,17,6,66,Yes,6,8,530
M,16,2,68,Yes,4,4,460
F,14,4,96,No,4,5,770
F,15,4,76,No,9,1,590
M,17,6,44,No,9,8,350
M,16,6,68,Yes,9,7,610
F,17,1,71,Yes,6,6,460
F,15,8,99,No,4,8,970
M,16,6,92,Yes,9,4,860
F,17,3,45,Yes,7,4,240
M,19,9,41,No,9,8,370
M,14,2,45,No,4,4,180
M,14,8,85,No,7,8,840
M,14,3,82,Yes,6,0,590
M,17,5,43,Yes,7,9,290
F,15,6,95,Yes,4,9,840
F,14,6,68,No,5,7,600
F,19,4,98,No,7,2,780
F,18,3,64,Yes,4,7,460
M,19,4,48,No,9,4,310
M,15,1,95,No,5,1,680
F,18,4,42,Yes,6,8,250
F,17,1,65,No,6,3,370
M,18,1,87,Yes,8,6,620
F,17,6,82,No,6,7,690
M,14,5,66,Yes,8,6,500
M,17,4,75,No,6,5,550
M,18,3,71,Yes,6,6,540
F,14,1,40,No,6,3,120
M,14,6,96,No,8,9,880
F,14,2,92,No,9,0,690
M,15,8,93,No,8,4,880
M,19,5,55,No,7,7,410
M,16,7,90,Yes,4,9,830
F,19,2,87,Yes,4,5,620
F,17,8,50,Yes,9,4,450
M,18,2,65,No,4,1,420
M,18,4,79,Yes,6,9,650
M,16,1,94,No,9,4,730
M,18,5,40,No,4,9,230
M,14,9,65,Yes,8,2,610
M,15,1,67,Yes,7,1,410
M,18,9,92,No,5,2,850
M,17,8,97,No,7,3,930
F,16,6,48,Yes,4,1,350
M,16,7,99,Yes,9,3,920
M,18,3,98,No,4,3,790
M,14,1,83,No,8,5,570
F,14,5,61,Yes,7,4,490
F,18,2,47,No,8,6,280
F,18,5,97,No,8,6,850
F,18,8,88,Yes,5,2,820
F,15,9,81,Yes,8,8,800
F,19,2,66,No,8,6,410
F,18,3,78,No,5,6,570
M,18,3,58,Yes,6,1,410
M,17,1,64,No,6,9,430
M,14,8,77,Yes,9,2,730
F,16,6,60,No,5,2,460
M,17,8,63,Yes,9,5,610
